mode,jobs_accessible,time
jobs_tt_bicycle_c_15,1.8,15
jobs_tt_bicycle_c_30,4.8,30
jobs_tt_bicycle_c_45,5.6,45
jobs_tt_bicycle_c_60,5.6,60
jobs_tt_bicycle_e_15,2.5,15
jobs_tt_bicycle_e_30,5.1,30
jobs_tt_bicycle_e_45,5.6,45
jobs_tt_bicycle_e_60,5.6,60
jobs_tt_car_15,7.6,15
jobs_tt_car_30,37.7,30
jobs_tt_car_45,72.1,45
jobs_tt_car_60,90.6,60
jobs_tt_car_freeflow_15,26.3,15
jobs_tt_car_freeflow_30,78.4,30
jobs_tt_car_freeflow_45,94.8,45
jobs_tt_car_freeflow_60,96.7,60
jobs_tt_car_parking_15,3.5,15
jobs_tt_car_parking_30,27.9,30
jobs_tt_car_parking_45,63.5,45
jobs_tt_car_parking_60,87,60
jobs_tt_car_parking_acc_egr_15,1.3,15
jobs_tt_car_parking_acc_egr_30,19.1,30
jobs_tt_car_parking_acc_egr_45,54.4,45
jobs_tt_car_parking_acc_egr_60,82.5,60
jobs_tt_car_parking_acc_egr_freeflow_15,3.8,15
jobs_tt_car_parking_acc_egr_freeflow_30,53.5,30
jobs_tt_car_parking_acc_egr_freeflow_45,88.7,45
jobs_tt_car_parking_acc_egr_freeflow_60,96.3,60
jobs_tt_car_parking_freeflow_15,12.7,15
jobs_tt_car_parking_freeflow_30,66.9,30
jobs_tt_car_parking_freeflow_45,92.5,45
jobs_tt_car_parking_freeflow_60,96.6,60
jobs_tt_docked_service_15,0.3,15
jobs_tt_docked_service_30,1.7,30
jobs_tt_docked_service_45,5.5,45
jobs_tt_docked_service_60,10.5,60
jobs_tt_improve_docked_pt_15,0.1,15
jobs_tt_improve_docked_pt_30,0.7,30
jobs_tt_improve_docked_pt_45,1.1,45
jobs_tt_improve_docked_pt_60,1,60
jobs_tt_pt_15,0.3,15
jobs_tt_pt_30,1.7,30
jobs_tt_pt_45,5.6,45
jobs_tt_pt_60,11.4,60
jobs_tt_pt_bicycle_c_15,1.9,15
jobs_tt_pt_bicycle_c_30,7.1,30
jobs_tt_pt_bicycle_c_45,17.8,45
jobs_tt_pt_bicycle_c_60,31.9,60
jobs_tt_pt_bicycle_e_15,2.5,15
jobs_tt_pt_bicycle_e_30,8.7,30
jobs_tt_pt_bicycle_e_45,20.3,45
jobs_tt_pt_bicycle_e_60,35.1,60
