mode,jobs_accessible,time
jobs_tt_bicycle_c_15,1.4,15
jobs_tt_bicycle_c_30,5.2,30
jobs_tt_bicycle_c_45,6.2,45
jobs_tt_bicycle_c_60,6.2,60
jobs_tt_bicycle_e_15,2,15
jobs_tt_bicycle_e_30,5.9,30
jobs_tt_bicycle_e_45,6.2,45
jobs_tt_bicycle_e_60,6.2,60
jobs_tt_car_15,30,15
jobs_tt_car_30,83.6,30
jobs_tt_car_45,96.5,45
jobs_tt_car_60,98.4,60
jobs_tt_car_freeflow_15,60.5,15
jobs_tt_car_freeflow_30,97.6,30
jobs_tt_car_freeflow_45,98.8,45
jobs_tt_car_freeflow_60,98.9,60
jobs_tt_car_parking_15,15.9,15
jobs_tt_car_parking_30,73.7,30
jobs_tt_car_parking_45,95.2,45
jobs_tt_car_parking_60,98.1,60
jobs_tt_car_parking_acc_egr_15,4.9,15
jobs_tt_car_parking_acc_egr_30,60.3,30
jobs_tt_car_parking_acc_egr_45,92.8,45
jobs_tt_car_parking_acc_egr_60,97.7,60
jobs_tt_car_parking_acc_egr_freeflow_15,16.3,15
jobs_tt_car_parking_acc_egr_freeflow_30,89.5,30
jobs_tt_car_parking_acc_egr_freeflow_45,98.5,45
jobs_tt_car_parking_acc_egr_freeflow_60,98.9,60
jobs_tt_car_parking_freeflow_15,38.3,15
jobs_tt_car_parking_freeflow_30,95.1,30
jobs_tt_car_parking_freeflow_45,98.7,45
jobs_tt_car_parking_freeflow_60,98.9,60
jobs_tt_docked_service_15,0.9,15
jobs_tt_docked_service_30,6.1,30
jobs_tt_docked_service_45,15.1,45
jobs_tt_docked_service_60,23.7,60
jobs_tt_improve_docked_pt_15,0.7,15
jobs_tt_improve_docked_pt_30,3.5,30
jobs_tt_improve_docked_pt_45,5.3,45
jobs_tt_improve_docked_pt_60,5.7,60
jobs_tt_pt_15,0.3,15
jobs_tt_pt_30,2.9,30
jobs_tt_pt_45,10.3,45
jobs_tt_pt_60,18.9,60
jobs_tt_pt_bicycle_c_15,1.5,15
jobs_tt_pt_bicycle_c_30,8.6,30
jobs_tt_pt_bicycle_c_45,23.4,45
jobs_tt_pt_bicycle_c_60,40.4,60
jobs_tt_pt_bicycle_e_15,2.1,15
jobs_tt_pt_bicycle_e_30,11.1,30
jobs_tt_pt_bicycle_e_45,28.1,45
jobs_tt_pt_bicycle_e_60,47,60
