mode,jobs_accessible,time
jobs_tt_bicycle_c_15,1.1,15
jobs_tt_bicycle_c_30,4.4,30
jobs_tt_bicycle_c_45,8.9,45
jobs_tt_bicycle_c_60,14.2,60
jobs_tt_bicycle_e_15,1.9,15
jobs_tt_bicycle_e_30,7.3,30
jobs_tt_bicycle_e_45,14.4,45
jobs_tt_bicycle_e_60,22.8,60
jobs_tt_car_15,17.1,15
jobs_tt_car_30,68.3,30
jobs_tt_car_45,94.9,45
jobs_tt_car_60,99.3,60
jobs_tt_car_parking_15,6.9,15
jobs_tt_car_parking_30,55.4,30
jobs_tt_car_parking_45,91.5,45
jobs_tt_car_parking_60,99,60
jobs_tt_car_parking_acc_egr_15,2,15
jobs_tt_car_parking_acc_egr_30,40.6,30
jobs_tt_car_parking_acc_egr_45,85.5,45
jobs_tt_car_parking_acc_egr_60,98.3,60
jobs_tt_docked_dockless_best_15,1.5,15
jobs_tt_docked_dockless_best_30,5.1,30
jobs_tt_docked_dockless_best_45,9.2,45
jobs_tt_docked_dockless_best_60,14.5,60
jobs_tt_docked_service_15,1.3,15
jobs_tt_docked_service_30,3.8,30
jobs_tt_docked_service_45,7,45
jobs_tt_docked_service_60,11.8,60
jobs_tt_dockless_service_15,1.5,15
jobs_tt_dockless_service_30,5.1,30
jobs_tt_dockless_service_45,9.1,45
jobs_tt_dockless_service_60,14.4,60
jobs_tt_improve_dock_dockless_pt_15,94.8,15
jobs_tt_improve_dock_dockless_pt_30,98,30
jobs_tt_improve_dock_dockless_pt_45,99.4,45
jobs_tt_improve_dock_dockless_pt_60,99.5,60
jobs_tt_improve_docked_pt_15,1.3,15
jobs_tt_improve_docked_pt_30,3.3,30
jobs_tt_improve_docked_pt_45,4.7,45
jobs_tt_improve_docked_pt_60,6.6,60
jobs_tt_improve_dockless_pt_15,1.5,15
jobs_tt_improve_dockless_pt_30,4.6,30
jobs_tt_improve_dockless_pt_45,6.8,45
jobs_tt_improve_dockless_pt_60,9.2,60
jobs_tt_pt_15,0.1,15
jobs_tt_pt_30,0.6,30
jobs_tt_pt_45,2.3,45
jobs_tt_pt_60,5.2,60
jobs_tt_pt_bicycle_c_15,1.1,15
jobs_tt_pt_bicycle_c_30,4.5,30
jobs_tt_pt_bicycle_c_45,9.4,45
jobs_tt_pt_bicycle_c_60,15.9,60
jobs_tt_pt_bicycle_e_15,1.9,15
jobs_tt_pt_bicycle_e_30,7.3,30
jobs_tt_pt_bicycle_e_45,14.6,45
jobs_tt_pt_bicycle_e_60,23.5,60
