mode,jobs_accessible,time
jobs_tt_bicycle_c_15,1.8,15
jobs_tt_bicycle_c_30,4.4,30
jobs_tt_bicycle_c_45,4.5,45
jobs_tt_bicycle_c_60,4.5,60
jobs_tt_bicycle_e_15,3.3,15
jobs_tt_bicycle_e_30,4.5,30
jobs_tt_bicycle_e_45,4.5,45
jobs_tt_bicycle_e_60,4.5,60
jobs_tt_car_15,5.2,15
jobs_tt_car_30,21.5,30
jobs_tt_car_45,45.5,45
jobs_tt_car_60,70.7,60
jobs_tt_car_freeflow_15,28.1,15
jobs_tt_car_freeflow_30,73.7,30
jobs_tt_car_freeflow_45,96.5,45
jobs_tt_car_freeflow_60,97.3,60
jobs_tt_car_parking_15,2.3,15
jobs_tt_car_parking_30,15.6,30
jobs_tt_car_parking_45,37.9,45
jobs_tt_car_parking_60,63,60
jobs_tt_car_parking_acc_egr_15,0.8,15
jobs_tt_car_parking_acc_egr_30,11.1,30
jobs_tt_car_parking_acc_egr_45,31.4,45
jobs_tt_car_parking_acc_egr_60,56.2,60
jobs_tt_car_parking_acc_egr_freeflow_15,7.6,15
jobs_tt_car_parking_acc_egr_freeflow_30,47.6,30
jobs_tt_car_parking_acc_egr_freeflow_45,87.6,45
jobs_tt_car_parking_acc_egr_freeflow_60,97.2,60
jobs_tt_car_parking_freeflow_15,15.8,15
jobs_tt_car_parking_freeflow_30,60.6,30
jobs_tt_car_parking_freeflow_45,93,45
jobs_tt_car_parking_freeflow_60,97.3,60
jobs_tt_docked_dockless_best_15,3.4,15
jobs_tt_docked_dockless_best_30,10.7,30
jobs_tt_docked_dockless_best_45,15.8,45
jobs_tt_docked_dockless_best_60,22.1,60
jobs_tt_docked_service_15,1.9,15
jobs_tt_docked_service_30,6.4,30
jobs_tt_docked_service_45,13,45
jobs_tt_docked_service_60,19.6,60
jobs_tt_dockless_service_15,3.1,15
jobs_tt_dockless_service_30,9.5,30
jobs_tt_dockless_service_45,13.1,45
jobs_tt_dockless_service_60,20,60
jobs_tt_improve_dock_dockless_pt_15,85.8,15
jobs_tt_improve_dock_dockless_pt_30,94.7,30
jobs_tt_improve_dock_dockless_pt_45,97.1,45
jobs_tt_improve_dock_dockless_pt_60,97.3,60
jobs_tt_improve_docked_pt_15,1.7,15
jobs_tt_improve_docked_pt_30,4.7,30
jobs_tt_improve_docked_pt_45,6.8,45
jobs_tt_improve_docked_pt_60,6.9,60
jobs_tt_improve_dockless_pt_15,2.9,15
jobs_tt_improve_dockless_pt_30,7.9,30
jobs_tt_improve_dockless_pt_45,7,45
jobs_tt_improve_dockless_pt_60,7.2,60
jobs_tt_pt_15,0.2,15
jobs_tt_pt_30,1.8,30
jobs_tt_pt_45,6.4,45
jobs_tt_pt_60,13.3,60
jobs_tt_pt_bicycle_c_15,1.9,15
jobs_tt_pt_bicycle_c_30,7.2,30
jobs_tt_pt_bicycle_c_45,15.3,45
jobs_tt_pt_bicycle_c_60,26.8,60
jobs_tt_pt_bicycle_e_15,3.6,15
jobs_tt_pt_bicycle_e_30,11.4,30
jobs_tt_pt_bicycle_e_45,20.3,45
jobs_tt_pt_bicycle_e_60,31.9,60
