shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
ML_1_O_Shape,19.737204,-99.027786,1
ML_1_O_Shape,19.738898,-99.02534,2
ML_1_O_Shape,19.749499,-99.012101,3
ML_1_O_Shape,19.748123,-99.010835,4
ML_1_O_Shape,19.753997,-99.003754,5
ML_1_O_Shape,19.762446,-98.993015,6
ML_1_O_Shape,19.762794,-98.992326,7
ML_1_O_Shape,19.758133,-98.975887,8
ML_1_O_Shape,19.750951,-98.974038,9
ML_1_O_Shape,19.749727,-98.976115,10
ML_1_O_Shape,19.749458,-98.976661,11
ML_1_O_Shape,19.749432,-98.978709,12
ML_1_O_Shape,19.749277,-98.978804,13
ML_1_O_Shape,19.749191,-98.978693,14
ML_1_O_Shape,19.749351,-98.977892,15
ML_1_O_Shape,19.749107,-98.976522,16
ML_1_O_Shape,19.748338,-98.974831,17
ML_1_O_Shape,19.744697,-98.972122,18
ML_1_O_Shape,19.737491,-98.972117,19
ML_1_O_Shape,19.726797,-98.970604,20
ML_1_O_Shape,19.725241,-98.970669,21
ML_1_O_Shape,19.716879,-98.9723,22
ML_1_O_Shape,19.713163,-98.974188,23
ML_1_O_Shape,19.711831,-98.974775,24
ML_1_O_Shape,19.699707,-98.980628,25
ML_1_O_Shape,19.698654,-98.981176,26
ML_1_O_Shape,19.695056,-98.98284,27
ML_1_O_Shape,19.687595,-98.989087,28
ML_1_O_Shape,19.686616,-98.989946,29
ML_1_O_Shape,19.686086,-98.990354,30
ML_1_O_Shape,19.684798,-98.991535,31
ML_1_O_Shape,19.683011,-98.993359,32
ML_1_O_Shape,19.681173,-98.995152,33
ML_1_O_Shape,19.680561,-98.995895,34
ML_1_O_Shape,19.678128,-98.999342,35
ML_1_O_Shape,19.676508,-99.000395,36
ML_1_O_Shape,19.675805,-99.00116,37
ML_1_O_Shape,19.675041,-99.001776,38
ML_1_O_Shape,19.673201,-99.002943,39
ML_1_O_Shape,19.67195,-99.003443,40
ML_1_O_Shape,19.670486,-99.003804,41
ML_1_O_Shape,19.668136,-99.003995,42
ML_1_O_Shape,19.659643,-99.004605,43
ML_1_O_Shape,19.658734,-99.00292,44
ML_1_O_Shape,19.661866,-99.002427,45
ML_1_O_Shape,19.661598,-99.000024,46
ML_1_O_Shape,19.660098,-99.000088,47
ML_1_O_Shape,19.658016,-99.000732,48
ML_1_O_Shape,19.658734,-99.00292,49
ML_1_O_Shape,19.659643,-99.004605,50
ML_1_O_Shape,19.647801,-99.005259,51
ML_1_O_Shape,19.645538,-99.004846,52
ML_1_O_Shape,19.63608,-99.00203,53
ML_1_O_Shape,19.632341,-99.002051,54
ML_1_O_Shape,19.630765,-99.001966,55
ML_1_O_Shape,19.629284,-99.002116,56
ML_1_O_Shape,19.627369,-99.00248,57
ML_1_O_Shape,19.625886,-99.002982,58
ML_1_O_Shape,19.624377,-99.003548,59
ML_1_O_Shape,19.621364,-99.004793,60
ML_1_O_Shape,19.620886,-99.005146,61
ML_1_O_Shape,19.620442,-99.00559,62
ML_1_O_Shape,19.617963,-99.009652,63
ML_1_O_Shape,19.617309,-99.0092,64
ML_1_O_Shape,19.617123,-99.009017,65
ML_1_O_Shape,19.616963,-99.00859,66
ML_1_O_Shape,19.616809,-99.008065,67
ML_1_O_Shape,19.616394,-99.007695,68
ML_1_O_Shape,19.615998,-99.007397,69
ML_1_O_Shape,19.615378,-99.006972,70
ML_1_O_Shape,19.61498,-99.00645,71
ML_1_O_Shape,19.605015,-99.013145,72
ML_1_O_Shape,19.603964,-99.014432,73
ML_1_O_Shape,19.603114,-99.015076,74
ML_1_O_Shape,19.602346,-99.015248,75
ML_1_O_Shape,19.600724,-99.016138,76
ML_1_O_Shape,19.597798,-99.018381,77
ML_1_O_Shape,19.596302,-99.019132,78
ML_1_O_Shape,19.585244,-99.026213,79
ML_1_O_Shape,19.584597,-99.026384,80
ML_1_O_Shape,19.579826,-99.024067,81
ML_1_O_Shape,19.5792,-99.024046,82
ML_1_O_Shape,19.578613,-99.024282,83
ML_1_O_Shape,19.577825,-99.024442,84
ML_1_O_Shape,19.57736,-99.024475,85
ML_1_O_Shape,19.57641,-99.025108,86
ML_1_O_Shape,19.576086,-99.025054,87
ML_1_O_Shape,19.575702,-99.024507,88
ML_1_O_Shape,19.574246,-99.022061,89
ML_1_O_Shape,19.572498,-99.020129,90
ML_1_O_Shape,19.570996,-99.01882,91
ML_1_O_Shape,19.570011,-99.017984,92
ML_1_O_Shape,19.568929,-99.016975,93
ML_1_O_Shape,19.566139,-99.014786,94
ML_1_O_Shape,19.565775,-99.01455,95
ML_1_O_Shape,19.565472,-99.014432,96
ML_1_O_Shape,19.565168,-99.0144,97
ML_1_O_Shape,19.564885,-99.014465,98
ML_1_O_Shape,19.564339,-99.014733,99
ML_1_O_Shape,19.562661,-99.015538,100
ML_1_O_Shape,19.561296,-99.01617,101
ML_1_O_Shape,19.557718,-99.017565,102
ML_1_O_Shape,19.556302,-99.01822,103
ML_1_O_Shape,19.555241,-99.018885,104
ML_1_O_Shape,19.553542,-99.019593,105
ML_1_O_Shape,19.55338,-99.019808,106
ML_1_O_Shape,19.552551,-99.020194,107
ML_1_O_Shape,19.550084,-99.021256,108
ML_1_O_Shape,19.546232,-99.022919,109
ML_1_O_Shape,19.542279,-99.024657,110
ML_1_O_Shape,19.539165,-99.025816,111
ML_1_O_Shape,19.533978,-99.028058,112
ML_1_O_Shape,19.532006,-99.02882,113
ML_1_O_Shape,19.531784,-99.02882,114
ML_1_O_Shape,19.531693,-99.028637,115
ML_1_O_Shape,19.531794,-99.02838,116
ML_1_O_Shape,19.532067,-99.028198,117
ML_1_O_Shape,19.533543,-99.027564,118
ML_1_O_Shape,19.5342,-99.027135,119
ML_1_O_Shape,19.534939,-99.026824,120
ML_1_O_Shape,19.535131,-99.02676,121
ML_1_O_Shape,19.535566,-99.026824,122
ML_1_O_Shape,19.539711,-99.024968,123
ML_1_O_Shape,19.545393,-99.022543,124
ML_1_O_Shape,19.548993,-99.020977,125
ML_1_O_Shape,19.553168,-99.01925,126
ML_1_O_Shape,19.55334,-99.01926,127
ML_1_O_Shape,19.553451,-99.019389,128
ML_1_O_Shape,19.553542,-99.019539,129
ML_2_O_Shape,19.590778,-99.023721,1
ML_2_O_Shape,19.590571,-99.023784,2
ML_2_O_Shape,19.589553,-99.024469,3
ML_2_O_Shape,19.589433,-99.02454,4
ML_2_O_Shape,19.589338,-99.024489,5
ML_2_O_Shape,19.58932,-99.024424,6
ML_2_O_Shape,19.589348,-99.024369,7
ML_2_O_Shape,19.589462,-99.024273,8
ML_2_O_Shape,19.590637,-99.023498,9
ML_2_O_Shape,19.590778,-99.023721,10
ML_2_O_Shape,19.591339,-99.024678,11
ML_2_O_Shape,19.59139,-99.024914,12
ML_2_O_Shape,19.59139,-99.025129,13
ML_2_O_Shape,19.591248,-99.025322,14
ML_2_O_Shape,19.589702,-99.02651,15
ML_2_O_Shape,19.589621,-99.026591,16
ML_2_O_Shape,19.58956,-99.02673,17
ML_2_O_Shape,19.589603,-99.026914,18
ML_2_O_Shape,19.589662,-99.027007,19
ML_2_O_Shape,19.595676,-99.030708,20
ML_2_O_Shape,19.598122,-99.032199,21
ML_2_O_Shape,19.599931,-99.033229,22
ML_2_O_Shape,19.601578,-99.033991,23
ML_2_O_Shape,19.601609,-99.034141,24
ML_2_O_Shape,19.601571,-99.034308,25
ML_2_O_Shape,19.601538,-99.034385,26
ML_2_O_Shape,19.598978,-99.035836,27
ML_2_O_Shape,19.598904,-99.035945,28
ML_2_O_Shape,19.598897,-99.036102,29
ML_2_O_Shape,19.598966,-99.036373,30
ML_2_O_Shape,19.599759,-99.037939,31
ML_2_O_Shape,19.601823,-99.041676,32
ML_2_O_Shape,19.604216,-99.0462,33
ML_2_O_Shape,19.610341,-99.057476,34
ML_2_O_Shape,19.611018,-99.05871,35
ML_2_O_Shape,19.611089,-99.05886,36
ML_2_O_Shape,19.611271,-99.059,37
ML_2_O_Shape,19.612221,-99.059772,38
ML_2_O_Shape,19.615,-99.061918,39
ML_2_O_Shape,19.616061,-99.063098,40
ML_2_O_Shape,19.616172,-99.063324,41
ML_2_O_Shape,19.618658,-99.067293,42
ML_2_O_Shape,19.62075,-99.070609,43
ML_2_O_Shape,19.624105,-99.07578,44
ML_2_O_Shape,19.628016,-99.082088,45
ML_2_O_Shape,19.62838,-99.082861,46
ML_2_O_Shape,19.628875,-99.08387,47
ML_2_O_Shape,19.630098,-99.08682,48
ML_2_O_Shape,19.631796,-99.091272,49
ML_2_O_Shape,19.634534,-99.098439,50
ML_2_O_Shape,19.634696,-99.099062,51
ML_2_O_Shape,19.634827,-99.09948,52
ML_2_O_Shape,19.634908,-99.10021,53
ML_2_O_Shape,19.635009,-99.100671,54
ML_2_O_Shape,19.635504,-99.104394,55
ML_2_O_Shape,19.636151,-99.109039,56
ML_2_O_Shape,19.636222,-99.109447,57
ML_2_O_Shape,19.63608,-99.110498,58
ML_2_O_Shape,19.634938,-99.113502,59
ML_2_O_Shape,19.632604,-99.119714,60
ML_2_O_Shape,19.631028,-99.123877,61
ML_2_O_Shape,19.630684,-99.124993,62
ML_2_O_Shape,19.630462,-99.125969,63
ML_2_O_Shape,19.630058,-99.128512,64
ML_2_O_Shape,19.628774,-99.13657,65
ML_2_O_Shape,19.628481,-99.138125,66
ML_2_O_Shape,19.628238,-99.139123,67
ML_2_O_Shape,19.627804,-99.140657,68
ML_2_O_Shape,19.625884,-99.148092,69
ML_2_O_Shape,19.62458,-99.153306,70
ML_2_O_Shape,19.623954,-99.155806,71
ML_2_O_Shape,19.621872,-99.163638,72
ML_2_O_Shape,19.619922,-99.171224,73
ML_2_O_Shape,19.61885,-99.17558,74
ML_2_O_Shape,19.618102,-99.177253,75
ML_2_O_Shape,19.617547,-99.17823,76
ML_2_O_Shape,19.616698,-99.179721,77
ML_2_O_Shape,19.616516,-99.180043,78
ML_2_O_Shape,19.616223,-99.180322,79
ML_2_O_Shape,19.61594,-99.18045,80
ML_2_O_Shape,19.615626,-99.180622,81
ML_2_O_Shape,19.614282,-99.180869,82
ML_2_O_Shape,19.60739,-99.182092,83
ML_2_O_Shape,19.603408,-99.182779,84
ML_2_O_Shape,19.599516,-99.183497,85
ML_2_O_Shape,19.598713,-99.183564,86
ML_2_O_Shape,19.598473,-99.183546,87
ML_2_O_Shape,19.598713,-99.183564,88
ML_2_O_Shape,19.598652,-99.183767,89
ML_2_O_Shape,19.598606,-99.184016,90
ML_2_O_Shape,19.598565,-99.184887,91
ML_2_O_Shape,19.598602,-99.184979,92
ML_2_O_Shape,19.598599,-99.185195,93
ML_2_O_Shape,19.598542,-99.18528,94
ML_2_O_Shape,19.598454,-99.185307,95
ML_2_O_Shape,19.598358,-99.185244,96
ML_2_O_Shape,19.598349,-99.18516,97
ML_2_O_Shape,19.598473,-99.183546,98
ML_2_O_Shape,19.594998,-99.183283,99
ML_2_O_Shape,19.594533,-99.183347,100
ML_2_O_Shape,19.59423,-99.18354,101
ML_2_O_Shape,19.593786,-99.183787,102
ML_2_O_Shape,19.593331,-99.184463,103
ML_2_O_Shape,19.59331,-99.184828,104
ML_2_O_Shape,19.593189,-99.185439,105
ML_2_O_Shape,19.592765,-99.186941,106
ML_2_O_Shape,19.592684,-99.187199,107
ML_2_O_Shape,19.592552,-99.18737,108
ML_2_O_Shape,19.591883,-99.188203,109
ML_2_O_Shape,19.591062,-99.189117,110
ML_3_O_Shape,19.417458,-99.071789,1
ML_3_O_Shape,19.417254,-99.07189,2
ML_3_O_Shape,19.416366,-99.072448,3
ML_3_O_Shape,19.416383,-99.072494,4
ML_3_O_Shape,19.416414,-99.072548,5
ML_3_O_Shape,19.416495,-99.072569,6
ML_3_O_Shape,19.417082,-99.072473,7
ML_3_O_Shape,19.417266,-99.072357,8
ML_3_O_Shape,19.417375,-99.072046,9
