trip_id,stop_id,arrival_time,departure_time,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
ML_1_O_ground_daily,31,05:15:00,05:15:30,1,,,,,0
ML_1_O_ground_daily,30,05:17:50,05:18:20,2,,,,,0
ML_1_O_ground_daily,29,05:23:41,05:24:11,3,,,,,0
ML_1_O_ground_daily,27,05:36:14,05:36:44,4,,,,,0
ML_1_O_ground_daily,26,05:38:36,05:39:06,5,,,,,0
ML_1_O_ground_daily,128,05:54:13,05:54:43,6,,,,,0
ML_1_O_ground_daily,14,05:58:13,05:58:43,7,,,,,0
ML_1_O_ground_daily,8,06:05:18,06:05:48,8,,,,,0
ML_1_O_ground_daily,6,06:07:14,06:07:44,9,,,,,0
ML_1_O_ground_daily,4,06:09:26,06:09:56,10,,,,,0
ML_2_O_ground_daily,34,05:15:00,05:15:30,1,,,,,0
ML_2_O_ground_daily,38,05:18:52,05:19:22,2,,,,,0
ML_2_O_ground_daily,46,05:25:04,05:25:34,3,,,,,0
ML_2_O_ground_daily,47,05:26:05,05:26:35,4,,,,,0
ML_2_O_ground_daily,49,05:28:16,05:28:46,5,,,,,0
ML_2_O_ground_daily,51,05:30:39,05:31:09,6,,,,,0
ML_2_O_ground_daily,52,05:31:39,05:32:09,7,,,,,0
ML_2_O_ground_daily,54,05:33:50,05:34:20,8,,,,,0
ML_2_O_ground_daily,55,05:34:48,05:35:18,9,,,,,0
ML_2_O_ground_daily,59,05:38:34,05:39:04,10,,,,,0
ML_2_O_ground_daily,60,05:39:38,05:40:08,11,,,,,0
ML_2_O_ground_daily,62,05:41:29,05:41:59,12,,,,,0
ML_2_O_ground_daily,63,05:42:41,05:43:11,13,,,,,0
ML_2_O_ground_daily,65,05:45:16,05:45:46,14,,,,,0
ML_2_O_ground_daily,66,05:46:40,05:47:10,15,,,,,0
ML_2_O_ground_daily,67,05:48:08,05:48:38,16,,,,,0
ML_2_O_ground_daily,72,05:53:05,05:53:35,17,,,,,0
ML_2_O_ground_daily,74,05:55:13,05:55:43,18,,,,,0
ML_2_O_ground_daily,76,05:58:14,05:58:44,19,,,,,0
ML_3_O_ground_daily,80,05:15:00,05:15:30,1,,,,,0
ML_3_O_ground_daily,81,05:16:09,05:16:39,2,,,,,0
