stop_id,stop_name,stop_desc,stop_lat,stop_lon
0,Ciudad Azteca,,19.534342,-99.027173
1,Quinto Sol,,19.539592,-99.025421
2,Josefa OrtÃ­z,,19.546379,-99.022522
3,Industrial,,19.550115,-99.020875
4,UNITEC,,19.554361,-99.01925
5,Alfredo Torres,,19.558269,-99.017372
6,Zodiaco,,19.563192,-99.015285
7,Adolfo LÃ³pez Mateos,,19.567054,-99.015564
8,Vocacional 3,,19.570011,-99.017984
9,Valle de Ecatepec,,19.573033,-99.0208
10,Las AmÃ©ricas,,19.580539,-99.02448
11,1Â° de Mayo,,19.587645,-99.024727
12,Hospital,,19.594708,-99.020001
13,Aquiles SerdÃ¡n,,19.598468,-99.017943
14,Jardines de Morelos,,19.600724,-99.016138
15,Palomas,,19.607294,-99.011552
16,19 de Septiembre,,19.610563,-99.009309
17,"Central de Abastos",,19.616344,-99.007748
18,Insurgentes,,19.625682,-99.003135
19,Hidalgo,,19.633488,-99.002121
20,CuauhtÃ©moc Sur,,19.63797,-99.002652
21,CuahutÃ©moc Norte,,19.646458,-99.005058
22,Esmeralda,,19.651702,-99.005093
23,Ojo de Agua,,19.6616992,-99.0019114
24,"Ojo de Agua",,19.6616204,-99.001264
25,"Loma Bonita",,19.6681621,-99.0040266
26,Ozumbilla,,19.6805409,-98.9959101
27,San Francisco,,19.6884137,-98.9883998
28,"TecÃ¡mac",,19.7116409,-98.9748903
29,Glorieta Militar,,19.749364,-98.9778996
30,Combustibles,,19.7624387,-98.9930116
31,Hacienda,,19.7539622,-99.0037913
32,Terminal de Pasajeros,,19.7372204,-99.0276935
33,Las AmÃ©ricas,,19.590124,-99.023941
34,1o de Mayo,,19.593406,-99.029305
35,San MartÃ­n,,19.595539,-99.030579
36,Puente de Fierro,,19.601038,-99.033787
37,Casa de Morelos,,19.599213,-99.03578
38,UPE,,19.601909,-99.041841
39,San CristÃ³bal,,19.604102,-99.046048
40,Agricultura,,19.605568,-99.048735
41,ISSEMYM,,19.60694,-99.051251
42,El Carmen,,19.608714,-99.05455
43,Ecatepec,,19.611614,-99.059351
44,DIF,,19.613878,-99.0611
